"name_ovd","address","coordinate"
"Москва | ФКУ «КП № 2 УФСИН по Московской области»","ул. Панфилова, 21, Зеленоград, Москва, Россия, 124575","55.985637,37.170452"
"ФКУ СИЗО-1 УФСИН России по г. Москве (Матросская тишина) | Москва","ул. Матросская Тишина, 18, Москва, Россия, 107076","55.791946,37.697338"
"ФКУ СИЗО-1 ФСИН России (Кремлевский централ) | Москва","ул. Матросская Тишина, 18, Москва, Россия, 107076","55.791946,37.697338"
"ФКУ СИЗО-2 УФСИН России по г. Москве (Бутырка) | Москва","Новослободская ул., 45, Москва, Россия, 127055","55.785176,37.595278"
"ФКУ СИЗО-2 ФСИН России (Лефортово) | Москва","ул. Лефортовский Вал, дом 5, Москва, Россия, 111250","55.761343,37.70561"
"ФКУ СИЗО-3 УФСИН России по г. Москве (Пресня) | Москва","1-й Силикатный пр-д, 11, Москва, Россия, 123007","55.765471,37.513184"
"ФКУ СИЗО-4 УФСИН России по г. Москве (Медведь) | Москва","Вилюйская ул., 4, Москва, Россия, 127081","55.88168,37.629497"
"ФКУ СИЗО-5 УФСИН России по г. Москве (Водник) | Москва","Выборгская ул., 20, Москва, Россия, 125130","55.835116,37.497737"
"ФКУ СИЗО-6 УФСИН России по г. Москве (Печатники) | Москва","Шоссейная ул., 92, Москва, Россия, 109383","55.666769,37.721155"
"ФКУ СИЗО-7 УФСИН России по г. Москве (Капотня) | Москва","ул. Верхние Поля, 57, Москва, Россия, 109382","55.657626,37.800884"
"ФКУ СИЗО-12 УФСИН России по г. Москве | Москва","ул. Панфилова, 21, Зеленоград, Москва, Россия, 124575","55.985637,37.170452"
"пос. Ульяновка | ФКУ «ИК № 2 УФСИН России по СПб и ЛО»","пос, Ульяновское ш., 76, Ульяновка, Ленинградская обл., Россия, 187010","59.620797,30.74873"
"Санкт-Петербург | ФКУ «ИК № 5 УФСИН России по СПб и ЛО»","1-й пр-д, 1, Санкт-Петербург, Россия, 196641","59.805805,30.512028"
"Санкт-Петербург | ФКУ «ИК № 6 УФСИН России по СПб и ЛО»","Грузовой пр-д, 7, Санкт-Петербург, Россия, 192288","59.841891,30.436677"
"Санкт-Петербург | ФКУ «ИК № 7 УФСИН России по СПб и ЛО»","ул. Латышских Стрелков, 22, Санкт-Петербург, Россия, 193318","59.932005,30.447948"
"Санкт-Петербург | ФКУ «КП № 8 УФСИН России по СПб и ЛО»","ул. Академика Лебедева, 39, Санкт-Петербург, Россия, 195009","59.96284,30.357129"
"ФКУ СИЗО-1 УФСИН России по Санкт-Петербургу и Ленинградской области Кресты | Ленинградская область, Санкт-Петербург","Колпинская ул., д.9, Санкт-Петербург, Россия, 196655","59.750087,30.621854"
"ФКУ СИЗО-3 УФСИН России по Санкт-Петербургу и Ленинградской области | Ленинградская область, Санкт-Петербург","Резервная ул., 2, Выборг, Ленинградская обл., Россия, 188800","60.715136,28.768261"
"ФКУ СИЗО-3 ФСИН России | Санкт-Петербург","Шпалерная ул., 25, Санкт-Петербург, Россия, 191123","59.948819,30.351162"
"ФКУ СИЗО-4 УФСИН России по г. Санкт-Петербургу и Ленинградской области | Ленинградская область, Санкт-Петербург","ул. Академика Лебедева, 39, Санкт-Петербург, Россия, 195009","59.96284,30.357129"
"ФКУ СИЗО-5 УФСИН России по г. Санкт-Петербургу и Ленинградской области | Ленинградская область, Санкт-Петербург","Арсенальная ул., 11, Санкт-Петербург, Россия, 195009","59.960904,30.371379"
"ФКУ СИЗО-6 УФСИН России по г. Санкт-Петербургу и Ленинградской области — «Горелово» | Ленинградская область, Санкт-Петербург","Заречная ул., 22, Санкт-Петербург, Россия, 190000","59.788823,30.60677"
"п. Тлюстенхабль | ФКУ «ИК № 1 УФСИН России по Республике Адыгея»","ул. Ленина, 28, Тлюстенхабль, Республика Адыгея, Россия, 385228","44.984685,39.099003"
"ФКУ СИЗО-2 УФСИН России по Республике Адыгея | Республика Адыгея","ул. Ленина, 28, Тлюстенхабль, Республика Адыгея, Россия, 385228","44.984685,39.099003"
"Барнаул | ФКУ «ИК № 3 УФСИН России по Алтайскому краю»","ул. Куета, 29, Барнаул, Алтайский край, Россия, 656905","53.310739,83.648747"
"Рубцовск | ФКУ «ИК № 5 УФСИН России по Алтайскому краю»","Тракторная улица, д. 23, Рубцовск, Алтайский край, Россия, 658204","51.550166,81.20964"
"с. Шипуново | ФКУ «ИК № 6 УФСИН России по Алтайскому краю»","Заводская ул., 48А, село Шипуново, Алтайский Край, Россия, 658390","52.225517,82.269083"
"Рубцовск | ФКУ «ИК № 10 УФСИН России по Алтайскому краю»","Тракторная ул., 26А, Рубцовск, Алтайский Край, Россия, 658209","51.530344,81.214022"
"Барнаул | ФКЛПУ «КТБ № 12 УФСИН России по Алтайскому краю»","пр. Канатный, 83, Барнаул, Алтайский край, Россия, 656021","53.310276,83.739485"
"Барнаул | ФКУ «ЛИУ № 1 УФСИН России по Алтайскому краю»","9-й Заводской пр-д, 44, Барнаул, Алтайский край, Россия, 656023","53.394134,83.705067"
"ФКУ СИЗО-1 УФСИН России по Алтайскому краю | Алтайский край","пр. Канатный, 81, Барнаул, Алтайский край, Россия, 656021","53.310326,83.741628"
"ФКУ СИЗО-2 УФСИН России по Алтайскому краю | Алтайский край","Чехова, 2, Бийск, Алтайский край, Россия, 659326","52.541258,85.186201"
"ФКУ СИЗО-4 УФСИН России по Алтайскому краю | Алтайский край","ул. Тракторная, 26, Рубцовск, Алтайский край, Россия, 658204","51.530923,81.213581"
"с. Возжаевка | ФКУ «ИК № 2 УФСИН России по Амурской области»","улица Центральная, село Возжаевка, Амурская область, 676811","50.731985,128.714784"
"с. Среднебелая | ФКУ «ИК № 3 УФСИН России по Амурской области»","ул. Герки Рулёва, 2, село Среднебелая, Амурская обл., Россия, 676910","50.661849,127.999481"
"Благовещенск | ФКУ «ИК № 8 УФСИН России по Амурской области»","Албазинская улица, 45, Благовещенск, Амурская область, Россия, 675020","50.32874,127.582999"
"ФКУ СИЗО-1 УФСИН России по Амурской области | Амурская область","Серышевский переулок, 55, Благовещенск, Амурская область, Россия, 675007","50.271134,127.505913"
"Архангельск | ФКУ «Архангельская ВК УФСИН России по Архангельской области»","поселок Талаги, д. 112, Архангельская область, 163530","64.614295,40.62922"
"Архангельск | ФКУ «ИК № 1 УФСИН России по Архангельской области»","Пирсовая улица, 27, Архангельск, 163050","64.515663,40.525031"
"Котлас | ФКУ «ИК № 4 УФСИН России по Архангельской области»","ул. Чиркова, 35, Котлас, Архангельская обл., Россия, 165302","61.249347,46.683703"
"Коряжма | ФКУ «ИК № 5 УФСИН России по Архангельской области»","дор Магистральное шоссе, д. 101 , Коряжма, Архангельская обл., Россия, 165650","61.292936,47.115942"
"Архангельск | ФКУ «ИК № 7 УФСИН России по Архангельской области»","Лахтинское ш., 105, Архангельск, Архангельская обл., Россия, 163039","64.417872,40.639235"
"д. Горка-Муравьевская | ФКУ «ИК № 14 УФСИН России по Архангельской области»","улица Спецгородок, 1А, деревня Горка-Муравьёвская, Архангельская область, 165115","61.102254,42.136517"
"п. Североонежск | ФКУ «ИК № 21 УФСИН России по Архангельской области»","2-ой мкрн., 10, Североонежск, Архангельская обл., Россия, 164268","62.591268,39.838133"
"п. Ерцево | ФКУ «ИК № 28 УФСИН России по Архангельской области»","ул. Гагарина, д. 26 , посёлок Ерцево, Архангельская область, 164000","60.791737,40.082525"
"п. Талаги | ФКУ «КП № 3 УФСИН России по Архангельской области»","поселок Талаги, д. 119, Архангельская область, 163530","64.614295,40.62922"
"Архангельск | ФКУ «ОБ УФСИН России по Архангельской области»","Онежская ул., 22, Архангельск, Архангельская обл., Россия, 163050","64.515539,40.551544"
"ФКУ СИЗО-1 УФСИН России по Архангельской области | Архангельская область","ул. Попова, 22, Архангельск, Архангельская обл., Россия, 163000","64.545687,40.52594"
"ФКУ СИЗО-3 УФСИН России по Архангельской области | Архангельская область","ул. Конева, 1, Вельск, Архангельская обл., Россия, 165150","61.082804,42.116684"
"ФКУ СИЗО-4 УФСИН России по Архангельской области | Архангельская область","ул. Силикатчиков, д.20, Архангельск, Архангельская обл., Россия, 163058","64.487591,40.766017"
"Астрахань | ФКУ ИК-6 УФСИН России по Астраханской области","ул. Рождественского, 6, Астрахань, Астраханская обл., Россия, 414057","46.314045,48.045327"
"Астрахань | ФКУ ИК-8 УФСИН России по Астраханской области","ул. Советской Гвардии, 50, Астрахань, Астраханская обл., Россия, 414044","46.450682,47.965267"
"Астрахань | ФКУ ИК-10 УФСИН России по Астраханской области","ул. Фунтовское ш., 25, Астрахань, Астраханская обл., Россия, 414057","46.308854,48.044396"
"ФКУ СИЗО-1 УФСИН России по Астраханской области | Астраханская область","пер-лок Буровский, 2, Астрахань, Астраханская обл., Россия, 414000","46.348969,48.034425"
"ФКУ СИЗО-2 УФСИН России по Астраханской области | Астраханская область","ул. Береговая, д. 7, г. Нариманов, Астраханская обл., Россия, 416111","46.690487,47.853539"
"Салават | ФКУ «ИК № 2 УФСИН по Республике Башкортостан»","Станция Южная, Салават, Башкортостан, 453256","53.389049,55.888543"
"Уфа | ФКУ «ИК № 3 УФСИН по Республике Башкортостан»","ул. Советов, 54, Уфа, Респ. Башкортостан, Россия, 450069","54.789468,56.235619"
"Уфа | ФКУ «ИК № 13 УФСИН по Республике Башкортостан»","Индустриальная ш., 32, Уфа, Респ. Башкортостан, Россия, 450061","54.804645,56.087977"
"Салават | ФКУ «ИК № 16 УФСИН по Республике Башкортостан»","153 км трассы P240, г. Салават, Республика Башкортостан, 453256","53.3493,55.845193"
"ФКУ СИЗО-1 УФСИН России по Республике Башкортостан | Республика Башкортостан","ул. Достоевского, 39, Уфа, Респ. Башкортостан, Россия, 450015","54.735308,55.940614"
"ФКУ СИЗО-2 УФСИН России по Республике Башкортостан | Республика Башкортостан","улица С. Тюленина, 34, Белорецк, Республика Башкортостан, 435500","53.967553,58.410072"
"ФКУ СИЗО-3 УФСИН России по Республике Башкортостан | Республика Башкортостан","Комсомольская ул., 7, Стерлитамак, Респ. Башкортостан, Россия, 453124","53.614144,55.958743"
"ФКУ СИЗО-4 УФСИН России по Республике Башкортостан | Республика Башкортостан","улица Худайбердина, дом 7, г. Бирск, Республика Башкортостан, 452450","55.425912,55.528095"
"ФКУ СИЗО-5 ГУФСИН России по Республике Башкортостан | Республика Башкортостан","ул. Промзона, с. Иванаево, Башкортостан, 452308","55.495944,54.813085"
"Алексеевка | ФКУ «ИК № 4 УФСИН по Белгородской области»","ул. Привокзальная, 2, Алексеевка, Белгородская обл., Россия, 309850","50.62077,38.6617"
"Белгород | ФКУ «ИК № 5 УФСИН по Белгородской области»","ул. Волчанская, 286, Белгород, Белгородская обл., Россия, 308006","50.560245,36.640655"
"Валуйки | ФКУ «ИК № 6 УФСИН по Белгородской области»","улица Тимирязева, 1А, Валуйки, Белгородская область, 309996","50.212127,38.121203"
"Валуйки | ФКУ «ИК № 7 УФСИН по Белгородской области»","ул. Тимирязева, 3, Валуйки, Белгородская обл., Россия, 309996","50.212001,38.123544"
"ФКУ СИЗО-2 УФСИН России по Белгородской области | Белгородская область","ул.Ленина, д. 7, г. Старый Оскол, Белгородская область, 309514","50.83569,37.235839"
"ФКУ СИЗО-3 УФСИН России по Белгородской области | Белгородская область","улица Константина Заслонова, 169А, Белгород, 308017","50.594801,36.663625"
"Брянск | ФКУ «ИК № 1 УФСИН по Брянской области»","улица Комарова, 30, Брянск, Брянская обл., Россия, 241022","53.262353,34.394188"
"Брянск | ФКУ «ИК № 2 УФСИН по Брянской области»","ул. Котовского, 39, Брянск, Россия, 241004","53.209557,34.432126"
"Стародуб | ФКУ «ИК № 5 УФСИН по Брянской области»","ул. Семашко, 4, Стародуб, Брянская обл., Россия, 243240","52.593704,32.763626"
"Клинцы | ФКУ «ИК № 6 УФСИН по Брянской области»","2-я Парковая улица, 2, Клинцы, Брянская область, 243140","52.742881,32.210497"
"Сураж | ФКУ «КП № 3 УФСИН по Брянской области»","Лесная улица, 3, Сураж, Брянская область, 243500","53.000585,32.405362"
"ФКУ СИЗО-1 УФСИН России по Брянской области | Брянская область","ул. Советская, 2А, Брянск, Брянская обл., Россия, 241050","53.247039,34.355976"
"ФКУ СИЗО-2 УФСИН России по Брянской области | Брянская область","Красная площадь, 9, Новозыбков, Брянская область, 243020","52.541022,31.921402"
"Гусиноозерск | ФКУ «ИК № 1 УФСИН России по Республике Бурятия»","г. Гусиноозерск, Бурятия, 671160","51.281687,106.532657"
"Улан-Удэ | ФКУ «ИК № 8 УФСИН России по Республике Бурятия»","Спиртзаводской тракт, 4 км., Улан-Удэ, Респ. Бурятия, Россия, 670033","51.550963,107.658899"
"ФКУ СИЗО-1 УФСИН России по Республике Бурятия | Республика Бурятия","Пристанская ул., 4, Улан-Удэ, Респ. Бурятия, Россия, 670000","51.842115,107.572845"
"п. Головино | ФКУ «ИК № 1 УФСИН по Владимирской области»","Советская улица, 50А, посёлок Головино, Владимирская область, 601395","56.182555,41.472259"
"Покров | ФКУ «ИК № 2 УФСИН по Владимирской области»","ул. Франка Штольверка, д. 6, Покров, Владимирская обл., Россия, 601122","55.903829,39.183762"
"Владимир | ФКУ «ИК № 3 УФСИН по Владимирской области»","ул. Полины Осипенко, 49, Владимир, Владимирская обл., Россия, 600009","56.153657,40.41184"
"Вязники | ФКУ «ИК № 4 УФСИН по Владимирской области»","Железнодорожная ул., 37, Вязники, Владимирская обл., Россия, 601440","56.22937,42.112151"
"п. Мелехово | ФКУ «ИК № 6 УФСИН по Владимирской области»","Первомайская ул., 261а, Мелехово, Владимирская обл., Россия, 601967","56.255768,41.314046"
"п. Пакино | ФКУ «ИК № 7 УФСИН по Владимирской области»","Центральная улица, 1А, посёлок Пакино, Владимирская область, 601960","56.363976,41.233449"
"д. Чудиново | ФКУ «КП № 9 УФСИН по Владимирской области»","Полевая улица, 36, деревня Чудиново, Владимирская область, 601435","56.240338,42.066384"
"ФКУ СИЗО-1 УФСИН России по Владимирской области | Владимирская область","ул. 9 Января, 5 A, Владимир, Владимирская обл., Россия, 600021","56.125737,40.375168"
"ФКУ СИЗО-3 УФСИН России по Владимирской области | Владимирская область","п.Труда, д.1, Кольчугино, Владимирская обл., Россия, 601785","56.298429,39.397958"
"Владимир | ФКУ «Тюрьма № 2 УФСИН по Владимирской области» «Владимирский централ»","Большая Нижегородская ул., 67, Владимир, Владимирская обл., Россия, 600020","56.141104,40.434296"
"Волгоградская психиатрическая больница (стационар) специализированного типа","ул Микрорайон, зд. 22а, с Дворянское, Волгоградская область, 403843","50.240653,45.286646"
"Волгоград | ФКУ ИК № 9 УФСИН России по Волгоградской области","ул. Костюченко, 12, Волгоград, Волгоградская обл., Россия, 400058","48.839108,44.557934"
"Волжский | ФКУ ИК № 12 УФСИН России по Волгоградской области","ул. Александрова, 86, Волжский, Волгоградская обл., Россия, 404117","48.823981,44.86584"
"Суровикино | ФКУ ИК № 19 УФСИН России по Волгоградской области","ул. Орджоникидзе, 99, Суровикино, Волгоградская обл., Россия, 404412","48.6089,42.876899"
"Волгоград | ФКУ ИК № 26 УФСИН России по Волгоградской области","ул. Довженко, 34, Волгоград, Волгоградская обл., Россия, 400080","48.485382,44.59123"
"Ленинск | ФКУ ИК № 28 УФСИН России по Волгоградской области","ул. Промышленная, д. 12, г. Ленинск, Волгоградская обл., Россия, 404621","48.70441,45.190023"
"Волгоград | ФКУ КП № 3 УФСИН России по Волгоградской области","Промысловая ул., 24, Волгоград, Волгоградская обл., Россия, 400032","48.552873,44.462292"
"Ленинск | ФКУ КП № 27 УФСИН России по Волгоградской области","Промышленная улица, 24, Ленинск, Волгоградская область, 404620","48.70441,45.190023"
"Урюпинск | ФКУ ЛИУ № 23 УФСИН России по Волгоградской области","микрорайон Гора Восточная, 151, Урюпинск, Волгоградская область, 403120","50.800825,42.033986"
"ФКУ СИЗО-1 УФСИН России по Волгоградской области | Волгоградская область","Голубинская ул., 3, Волгоград, Волгоградская обл., Россия, 400066","48.711787,44.501221"
"ФКУ СИЗО-3 УФСИН России по Волгоградской области | Волгоградская область","ул. Хлеборобная д. 107/1, г. Фролово, Волгоградская обл., Россия, 403532","49.77417,43.683535"
"ФКУ СИЗО-4 УФСИН России по Волгоградской области | Волгоградская область","ул. Довженко, 34Б, Волгоград, Волгоградская обл., Россия, 400080","48.485462,44.591121"
"ФКУ СИЗО-5 УФСИН России по Волгоградской области | Волгоградская область","ул. Промышленная, 12, Ленинск, Волгоградская обл., Россия, 404621","48.70441,45.190023"
"Вологда | ФКУ «ИК № 1 УФСИН России по Вологодской области»","ул. Левичева, 1/А, Вологда, Вологодская обл., Россия, 160012","59.20727,39.915572"
"д. Княгинино | ФКУ «ИК № 2 УФСИН России по Вологодской области»","д. Княгинино, д. 16, Вологодская область, 160503","59.870671,40.655541"
"д. Остров Сладкий | ФКУ «ИК № 5 УФСИН России по Вологодской области» «Вологодский пятак»","остров Огненный, д. 16, дер. Остров Сладкий, Вологодская обл., Россия, 161222","59.954005,37.237809"
"п. Шексна | ФКУ «ИК № 12 УФСИН России по Вологодской области»","ул. Шоссейная, Шексна, Вологодская обл., Россия, 162562","59.223108,38.511027"
"п. Шексна | ФКУ «ИК № 17 УФСИН России по Вологодской области»","улица Дзержинского, 6, рабочий посёлок Шексна, Вологодская область, 162560","59.200578,38.476289"
"Устюжна | ФКУ «ИК № 20 УФСИН России по Вологодской области»","ул. Карла Маркса, 57, Устюжна, Вологодская обл., Россия, 162840","58.840201,36.452366"
"п. Суда | ФКУ «КП № 7 УФСИН России по Вологодской области»","ул. Заря д. 11, п. Суда, Череповецкий р-н, Вологодская область, 162700","59.1526,37.562463"
"ФКУ СИЗО-2 УФСИН России по Вологодской области | Вологодская область","Трудовая ул., 2, Вологда, Вологодская обл., Россия, 160019","59.235751,39.898685"
"ФКУ СИЗО-3 УФСИН России по Вологодской области | Вологодская область","Северное ш., 67В, Череповец, Вологодская обл., Россия, 163624","59.155669,37.796626"
"Вологда | ФКЛПУ «МБ № 10 УФСИН России по Вологодской области»","Советский проспект, 73, Вологда, Вологодская обл., Россия, 160012","59.206683,39.916354"
"Воронеж | ФКУ «ИК № 2 УФСИН по Воронежской области»","ул. 3-го Интернационала, д. 17, г. Воронеж, Воронежская обл., Россия, 394030","51.419276,39.612375"
"Россошь | ФКУ «ИК № 8 УФСИН по Воронежской области»","ул. Кирпичный завод, д. 5, г. Россошь, Воронежская обл., Россия, 396653","50.177395,39.620061"
"п. Перелешино | ФКУ «КП № 10 УФСИН по Воронежской области»","ул. Мира, д. 71А, пос. Перелешино, Воронежская обл., Россия, 396180","51.738638,40.134866"
"ФКУ СИЗО-1 УФСИН России по Воронежской области | Воронежская область","ул. Желябова, 56, Воронеж, Воронежская обл., Россия, 394030","51.674834,39.187593"
"ФКУ СИЗО-3 УФСИН России по Воронежской области | Воронежская область","ул. Антокольского, 6, Воронеж, Воронежская обл., Россия, 394062","51.660893,39.126242"
"Кизилюрт | ФКУ «КП № 9 УФСИН России по Республике Дагестан»","ул. им. Газимагомеда, д. 145, г. Кизилюрт, Республика Дагестан, Россия, 368122","43.208782,46.88023"
"ФКУ СИЗО-1 УФСИН России по Республике Дагестан | Республика Дагестан","ул. Левина, 45, Махачкала, Респ. Дагестан, Россия, 367023","42.98772,47.495515"
"ФКУ СИЗО-3 УФСИН России по Республике Дагестан | Республика Дагестан","Батаюртовское шоссе, д. 4, г. Хасавюрт, респ. Дагестан, Россия, 368000","43.261098,46.593068"
"ФКУ СИЗО-1 ГУФСИН России по Донецкой Народной Республике | Оккупированная территория Донецкой области","ул. Кобозева, д. 4, г. Донецк, Донецкая народная республика, 283086","47.985999,37.802411"
"Биробиджан | ФКУ «Биробиджанская ВК УФСИН России по ЕАО»","Аремовский пер., 10, Биробиджан, Еврейская автономная область, Россия, 679002","48.788957,132.906925"
"ФКУ СИЗО-1 УФСИН России по Еврейской автономной области | Еврейская автономная область","улица Карла Маркса, 4, Биробиджан, Еврейская автономная область, 679005","48.786332,132.898522"
"Чита | ФКУ «ИК № 3 УФСИН России по Забайкальскому краю»","ул. Угданский проезд, 61, г. Чита, Забайкальский край, 672000","52.066624,113.401127"
"Чита | ФКУ «ИК № 5 УФСИН России по Забайкальскому краю»","ул. Александра Липова, 5, Чита, Забайкальский край, Россия, 672015","52.006015,113.556346"
"пгт. Оловянная | ФКУ «ИК № 7 УФСИН России по Забайкальскому краю»","ул. Дзержинского, 13а, п. Оловянная, Забайкальский край, Россия, 674500","50.947809,115.58256"
"п. Карымское | ФКУ «ИК № 8 УФСИН России по Забайкальскому краю»","ул. Красноармейская д. 10, пос. Карымское, Забайкальский край, 673300","51.626257,114.349565"
"Краснокаменск | ФКУ «ИК № 10 УФСИН России по Забайкальскому краю»","тер ИК-10, г. Краснокаменск, Забайкальский край, 674674","50.088682,118.028477"
"ФКУ СИЗО-1 УФСИН России по Забайкальскому краю | Забайкальский край","Ингодинская ул., 1, Чита, Забайкальский край, Россия, 672010","52.02344,113.522366"
"ФКУ СИЗО-2 УФСИН России по Забайкальскому краю | Забайкальский край","тер Ик-10, стр. 16, г. Краснокаменск, Забайкальский край, 674674","50.088682,118.028477"
"с. Талицы | ФКУ «ИК № 2 УФСИН по Ивановской области»","Техническая ул., д. 21 , село Талицы, Ивановская область, 155644","56.528803,42.329574"
"Кинешма | ФКУ «ИК № 3 УФСИН по Ивановской области»","Шуйская ул., д.1, город Кинешма, Ивановская область, 155815","57.445725,42.098684"
"с. Талицы | ФКУ «ИК № 6 УФСИН по Ивановской области»","Школьная ул., д. 10, село Талицы, Ивановская область, 155644","56.665064,42.423615"
"с. Шилекша | ФКУ «КП № 12 УФСИН по Ивановской области»","Центральная ул., д. 32, с. Шилекша, Кинешемский район, Ивановская область, Россия, 155828","57.177284,42.528094"
"ФКУ СИЗО-1 УФСИН России по Ивановской области | Ивановская область","ул. Болотная, 2, Иваново, Ивановская обл., Россия, 153000","57.02687,40.962009"
"ФКУ СИЗО-2 УФСИН России по Ивановской области | Ивановская область","Шуйская ул., д. 4, г. Кинешма, Ивановская область, Россия, 155815","57.44451,42.095518"
"ФКУ СИЗО-1 ОФСИН России по Республике Ингушетия | Республика Ингушетия","Карабулакская ул, влд. 1, город Карабулак, Республика Ингушетия, 386231","43.3101,44.904742"
"Ангарск | ФКУ «ИК № 2 ГУФСИН России по Иркутской области»","кв-л 47 (Первый Промышленный Массив Тер.), стр. 6, город Ангарск, Иркутская область, 665800","52.595922,103.901908"
"п. Плишкино | ФКУ «ИК № 4 ГУФСИН России по Иркутской области»","поселок Плишкино, Иркутская область, 664019","52.345,104.4875"
"п. Бозой | ФКУ ИК № 11 ГУФСИН России по Иркутской области","Электровозная ул., Копейск, Челябинская обл., Россия, 456656","55.095546,61.552319"
"Ангарск | ФКУ «ИК № 14 ГУФСИН России по Иркутской области»","Промзона АНХК, 9, стр. 10/1, Ангарск, Иркутская обл., Россия, 665800","52.563513,103.914518"
"Ангарск | ФКУ «ИК № 15 ГУФСИН России по Иркутской области»","2-й Проммасив ул., 41, корп. квартал, 40/2, Ангарск, Иркутская обл., Россия, 665800","52.51557,103.91716"
"п. Маркова | ФКУ «ИК № 19 ГУФСИН России по Иркутской области»","ул. Промышленная, строение 81, Маркова, Иркутская обл., Россия, 664528","52.238717,104.195149"
"п. Плишкино | ФКУ «КП № 51 ГУФСИН России по Иркутской области»","поселок Плишкино, Иркутская область, 664019","52.345,104.4875"
"ФКУ СИЗО-1 ГУФСИН России по Иркутской области | Иркутская область","ул. Баррикад, 63, Иркутск, Иркутская обл., Россия, 664001","52.294253,104.310703"
"ФКУ СИЗО-2 ГУФСИН России по Иркутской области | Иркутская область","ул Прибрежная (Чекановский П/Р), д. 49, город Братск, Иркутская область, 665710","56.155217,101.463104"
"ФКУ СИЗО-5 ГУФСИН России по Иркутской области | Иркутская область","ул. Лыткина, д.66, город Тулун, Иркутская область, 665268","54.572435,100.573612"
"ФКУ СИЗО-6 ГУФСИН России по Иркутской области | Иркутская область","кв-л 10 (Первый Промышленный Массив Тер.), стр. 3, город Ангарск, Иркутская область, 665830","52.612588,103.916397"
"п. Каменка | ФКУ «ИК № 1 УФСИН России по КБР»","ул. Им Мизиева Далхата Адрайевича, д.1, село Каменка, Кабардино-Балкарская Республика, 361423","43.53322,43.517623"
